dataset_id,sample_id,gene_id,symbol,discrete_cna
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,238,ALK,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,84868,HAVCR2,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3091,HIF1A,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3105,HLA-A,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3106,HLA-B,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3553,IL1B,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3716,JAK1,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3717,JAK2,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3845,KRAS,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3902,LAG3,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4233,MET,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4288,MKI67,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4318,MMP9,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4609,MYC,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,5133,PDCD1,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,567,B2M,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6279,S100A8,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6280,S100A9,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6615,SNAI1,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6696,SPP1,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,201633,TIGIT,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,7153,TOP2A,1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,7422,VEGFA,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,7431,VIM,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6935,ZEB1,0
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,29126,CD274,-1
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,1493,CTLA4,0
