dataset_id,cancer_type,histology,gene_id,symbol,theme,n_samples,deep_deletion_fraction,gain_fraction,amplification_fraction,altered_fraction
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,29126,CD274,immune_checkpoint,511,0.019569,0.117417,0.005871,0.645793
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,5133,PDCD1,immune_checkpoint,511,0.007828,0.252446,0.009785,0.385519
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,1493,CTLA4,immune_checkpoint,511,0.0,0.25636,0.009785,0.344423
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,3902,LAG3,immune_checkpoint,511,0.007828,0.272016,0.011742,0.530333
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,201633,TIGIT,immune_checkpoint,511,0.0,0.207436,0.0,0.465753
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,84868,HAVCR2,immune_checkpoint,511,0.005871,0.195695,0.005871,0.551859
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,1956,EGFR,tumor_driver,511,0.005871,0.475538,0.050881,0.596869
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,3845,KRAS,tumor_driver,511,0.0,0.287671,0.056751,0.530333
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,4233,MET,tumor_driver,511,0.005871,0.399217,0.021526,0.53816
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,238,ALK,tumor_driver,511,0.0,0.291585,0.003914,0.363992
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,4609,MYC,tumor_driver,511,0.0,0.540117,0.084149,0.665362
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,4072,EPCAM,epithelial_state,511,0.0,0.293542,0.007828,0.354207
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,7431,VIM,emt_invasion,511,0.001957,0.236791,0.001957,0.459883
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,6935,ZEB1,emt_invasion,511,0.0,0.242661,0.011742,0.432485
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,6615,SNAI1,emt_invasion,511,0.001957,0.410959,0.019569,0.561644
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,4318,MMP9,emt_invasion,511,0.001957,0.403131,0.009785,0.571429
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,6279,S100A8,myeloid_inflammation,511,0.0,0.637965,0.093933,0.751468
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,6280,S100A9,myeloid_inflammation,511,0.0,0.637965,0.093933,0.751468
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,3576,CXCL8,myeloid_inflammation,511,0.0,0.121331,0.009785,0.39726
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,3553,IL1B,myeloid_inflammation,511,0.0,0.299413,0.001957,0.350294
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,6696,SPP1,myeloid_inflammation,511,0.0,0.097847,0.0,0.39726
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,4288,MKI67,proliferation,511,0.007828,0.158513,0.001957,0.452055
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,7153,TOP2A,proliferation,511,0.0,0.418787,0.009785,0.504892
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,7422,VEGFA,hypoxia_angiogenesis,511,0.0,0.344423,0.021526,0.497065
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,3091,HIF1A,hypoxia_angiogenesis,511,0.001957,0.258317,0.009785,0.524462
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,3105,HLA-A,antigen_presentation,511,0.0,0.358121,0.009785,0.491194
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,3106,HLA-B,antigen_presentation,511,0.001957,0.362035,0.011742,0.493151
luad_tcga_pan_can_atlas_2018,LUAD,lung adenocarcinoma,567,B2M,antigen_presentation,511,0.023483,0.064579,0.0,0.589041
