dataset_id,sample_id,gene_id,expression_zscore
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,238,0.1593
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,84868,0.5749
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3091,-0.4032
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3105,-0.3023
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3106,0.1826
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3553,0.2948
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3716,0.1166
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3717,-0.4698
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3845,0.6047
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3902,-1.4996
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4233,1.3049
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4288,0.2178
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4318,-0.5907
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4609,0.5377
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,5133,-1.0942
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,567,-0.0484
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6279,0.3816
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6280,0.593
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6615,-0.5672
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6696,1.2644
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,201633,-0.4616
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,7153,0.7031
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,7422,2.1437
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,7431,0.1335
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,6935,-0.6917
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,29126,1.2876
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,1493,-0.0031
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,3576,-0.0524
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,1956,0.8652
luad_tcga_pan_can_atlas_2018,TCGA-05-4244-01,4072,0.5057
luad_tcga_pan_can_atlas_2018,TCGA-05-4249-01,238,0.2142
luad_tcga_pan_can_atlas_2018,TCGA-05-4249-01,84868,0.5413
luad_tcga_pan_can_atlas_2018,TCGA-05-4249-01,3091,0.4728
luad_tcga_pan_can_atlas_2018,TCGA-05-4249-01,3105,-0.9111
