molecular_profile_id,dataset_id,alteration_type,datatype,name,patient_level
luad_tcga_pan_can_atlas_2018_armlevel_cna,luad_tcga_pan_can_atlas_2018,GENERIC_ASSAY,CATEGORICAL,Putative arm-level copy-number from GISTIC,0
luad_tcga_pan_can_atlas_2018_genetic_ancestry,luad_tcga_pan_can_atlas_2018,GENERIC_ASSAY,LIMIT-VALUE,Genetic Ancestry,0
luad_tcga_pan_can_atlas_2018_gistic,luad_tcga_pan_can_atlas_2018,COPY_NUMBER_ALTERATION,DISCRETE,Putative copy-number alterations from GISTIC,0
luad_tcga_pan_can_atlas_2018_log2CNA,luad_tcga_pan_can_atlas_2018,COPY_NUMBER_ALTERATION,LOG2-VALUE,Log2 copy-number values,0
luad_tcga_pan_can_atlas_2018_methylation_hm27_hm450_merge,luad_tcga_pan_can_atlas_2018,GENERIC_ASSAY,LIMIT-VALUE,Methylation (HM27 and HM450 merge),0
luad_tcga_pan_can_atlas_2018_methylation_hm450,luad_tcga_pan_can_atlas_2018,GENERIC_ASSAY,LIMIT-VALUE,Methylation (HM450),0
luad_tcga_pan_can_atlas_2018_mutations,luad_tcga_pan_can_atlas_2018,MUTATION_EXTENDED,MAF,Mutations,0
luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,luad_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,CONTINUOUS,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",0
luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,luad_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,Z-SCORE,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),0
luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,luad_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,Z-SCORE,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),0
luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_ref_normal_Zscores,luad_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,Z-SCORE,mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM),0
luad_tcga_pan_can_atlas_2018_rppa,luad_tcga_pan_can_atlas_2018,PROTEIN_LEVEL,LOG2-VALUE,Protein expression (RPPA),0
luad_tcga_pan_can_atlas_2018_rppa_Zscores,luad_tcga_pan_can_atlas_2018,PROTEIN_LEVEL,Z-SCORE,Protein expression z-scores (RPPA),0
luad_tcga_pan_can_atlas_2018_structural_variants,luad_tcga_pan_can_atlas_2018,STRUCTURAL_VARIANT,SV,SV Data,0
lusc_tcga_pan_can_atlas_2018_armlevel_cna,lusc_tcga_pan_can_atlas_2018,GENERIC_ASSAY,CATEGORICAL,Putative arm-level copy-number from GISTIC,0
lusc_tcga_pan_can_atlas_2018_genetic_ancestry,lusc_tcga_pan_can_atlas_2018,GENERIC_ASSAY,LIMIT-VALUE,Genetic Ancestry,0
lusc_tcga_pan_can_atlas_2018_gistic,lusc_tcga_pan_can_atlas_2018,COPY_NUMBER_ALTERATION,DISCRETE,Putative copy-number alterations from GISTIC,0
lusc_tcga_pan_can_atlas_2018_log2CNA,lusc_tcga_pan_can_atlas_2018,COPY_NUMBER_ALTERATION,LOG2-VALUE,Log2 copy-number values,0
lusc_tcga_pan_can_atlas_2018_methylation_hm27_hm450_merge,lusc_tcga_pan_can_atlas_2018,GENERIC_ASSAY,LIMIT-VALUE,Methylation (HM27 and HM450 merge),0
lusc_tcga_pan_can_atlas_2018_methylation_hm450,lusc_tcga_pan_can_atlas_2018,GENERIC_ASSAY,LIMIT-VALUE,Methylation (HM450),0
lusc_tcga_pan_can_atlas_2018_mutations,lusc_tcga_pan_can_atlas_2018,MUTATION_EXTENDED,MAF,Mutations,0
lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,lusc_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,CONTINUOUS,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",0
lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,lusc_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,Z-SCORE,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),0
lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,lusc_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,Z-SCORE,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),0
lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_ref_normal_Zscores,lusc_tcga_pan_can_atlas_2018,MRNA_EXPRESSION,Z-SCORE,mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM),0
lusc_tcga_pan_can_atlas_2018_rppa,lusc_tcga_pan_can_atlas_2018,PROTEIN_LEVEL,LOG2-VALUE,Protein expression (RPPA),0
lusc_tcga_pan_can_atlas_2018_rppa_Zscores,lusc_tcga_pan_can_atlas_2018,PROTEIN_LEVEL,Z-SCORE,Protein expression z-scores (RPPA),0
lusc_tcga_pan_can_atlas_2018_structural_variants,lusc_tcga_pan_can_atlas_2018,STRUCTURAL_VARIANT,SV,Structural variants,0
